image_path,label,plant_type,disease_type,split
dataset\healthy\potato\00fc2ee5-729f-4757-8aeb-65c3355874f2___RS_HL 1864.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\03da9931-e514-4cc7-b04a-8f474a133ce5___RS_HL 1830.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\04481ca2-f94c-457e-b785-1ac05800b7ec___RS_HL 1930.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\046641c1-f837-49eb-b5f2-4109910a027c___RS_HL 1878.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\0b3e5032-8ae8-49ac-8157-a1cac3df01dd___RS_HL 1817.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\0be9d721-82f5-42c3-b535-7494afe01dbe___RS_HL 1814.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\0f4ebc5a-d646-436a-919d-961342997cde___RS_HL 4183.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1106c3fc-92cb-41a6-a6c6-8f08b9b45108___RS_HL 1914.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL 5419.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\142fb983-2166-4a0f-b99b-a6c21e99987e___RS_HL 5398.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\14484ea5-9c34-427c-abe4-2743265aced0___RS_HL 4204.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\144d2475-21ab-4bdc-a67c-9672a9b711e6___RS_HL 5376.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\163ada72-4288-4f85-a3c1-feed23c8d1de___RS_HL 1940.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\170f1f57-0fd4-421f-9c82-3b1804be63ad___RS_HL 1771.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1a1184f8-c414-4ead-a4c4-41ae78e29a82___RS_HL 1971.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1ae826e2-5148-47bd-a44c-711ec9cc9c75___RS_HL 1954.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1b434c52-7be4-40c4-90d5-13220f1a3eba___RS_HL 5418.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1dcfeaa9-006d-470c-b3e5-d67609d07d4e___RS_HL 1808.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\1f9870b3-899e-46fb-98c9-cfc2ce92895b___RS_HL 1816.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\20ac28d6-5708-4e31-8676-1b1979de094f___RS_HL 1735.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\22322780-95b4-4b45-b626-26b22965d55e___RS_HL 1880.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\23f1ab77-d664-49c4-92eb-41eb66c6d101___RS_HL 4169.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\23f4d3b1-23f4-43fb-96c2-dae37224ec74___RS_HL 1803.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\2ccb9ee9-faac-4d32-9af5-29497fa2e028___RS_HL 1837.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5___RS_HL 1945.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\2dee1571-ef6b-40ef-8c46-334e89aad3f1___RS_HL 1950.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\2e0b8b4b-e900-408b-b760-730690bbd382___RS_HL 1901.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\30126310-39de-4c02-b10a-23409417a4f6___RS_HL 1826.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\30937333-8898-4634-8c00-af57d3020ba6___RS_HL 1922.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\31a09d39-6791-4ecb-8f44-af2ed85dbd33___RS_HL 1970.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\369479a9-3c28-4d77-8731-9ae54e719af3___RS_HL 1785.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\36bdc44c-96a4-40bb-86f7-63a91d706e96___RS_HL 4203.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\38faf81d-c83b-42ca-b4c3-e3bbfa070589___RS_HL 1805.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\3a00204c-5e53-4e5d-95a6-f8819031744e___RS_HL 5420.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\3a1dbeee-089c-43f0-8f51-a92d3687a515___RS_HL 1754.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\3edf7c3f-73e0-439c-870d-76cfd7c3bc45___RS_HL 1859.JPG,healthy_potato,potato,none,train
